timestamp,ros_delay_ms,yolo_infer_ms,node_latency_ms,roi_kb,detections,gpu_%,cpu_%,power_mW,ram_MB
1776591348.8792448,158.73,20.14,28.64,10.4,2,77,44.5,7423,6112
1776591348.9085655,154.27,19.52,27.59,10.4,2,77,44.5,7423,6112
1776591348.938496,163.94,19.85,28.12,10.4,2,77,44.5,7423,6112
1776591348.97088,162.01,21.19,30.8,10.4,2,77,44.5,7423,6112
1776591349.00467,158.57,21.83,31.81,10.4,2,77,44.5,7423,6112
1776591349.039936,159.76,22.55,33.32,10.5,2,77,44.5,7423,6112
1776591349.0723324,165.13,21.15,30.27,10.4,2,77,44.5,7423,6112
1776591349.10304,162.75,20.03,29.06,10.4,2,77,44.5,7423,6112
1776591349.1340225,161.98,20.03,29.12,10.4,2,77,44.5,7423,6112
1776591349.1647704,159.69,19.87,28.92,10.4,2,77,44.5,7423,6112
1776591349.1950653,155.99,19.98,28.59,10.4,2,77,44.5,7423,6112
1776591349.2253737,154.32,19.83,28.38,10.4,2,77,44.5,7423,6112
1776591349.2566066,165.69,20.28,29.24,10.4,2,77,44.5,7423,6112
1776591349.2881222,161.76,20.9,29.76,10.4,2,77,44.5,7423,6112
1776591349.318504,160.89,20.15,28.76,10.5,2,77,44.5,7423,6112
1776591349.349198,158.57,20.17,28.92,10.4,2,77,44.5,7423,6112
1776591349.3795824,156.73,20.04,28.71,10.4,2,77,44.5,7423,6112
1776591349.4098828,154.19,20.04,28.47,10.4,2,77,44.5,7423,6112
1776591349.4401767,150.39,19.85,28.35,10.4,2,77,44.5,7423,6112
1776591349.4715023,163.27,20.62,29.54,10.4,2,77,44.5,7423,6112
1776591349.5017796,164.4,20.05,28.64,10.4,2,77,44.5,7423,6112
1776591349.5318658,157.83,19.83,28.38,10.5,2,77,44.5,7423,6112
1776591349.5627317,174.14,20.27,29.17,10.5,2,77,44.5,7423,6112
1776591349.5933206,154.64,19.95,28.83,10.5,2,77,44.5,7423,6112
1776591349.6241083,167.17,19.78,29.01,10.5,2,77,44.5,7423,6112
1776591349.654559,162.74,20.04,28.72,10.5,2,77,44.5,7423,6112
1776591349.6850927,160.44,19.78,28.85,10.5,2,77,44.5,7423,6112
1776591349.718615,150.96,20.26,31.85,10.5,2,77,44.5,7423,6112
1776591349.753889,160.48,21.49,32.62,10.4,2,77,44.5,7423,6112
1776591349.7880642,161.51,22.15,32.4,10.5,2,77,44.5,7423,6112
1776591349.8240838,159.4,22.31,33.7,10.4,2,77,44.5,7423,6112
1776591349.8585021,165.21,21.69,32.53,10.5,2,43,45.2,7435,6115
1776591349.8891046,166.75,19.85,28.26,10.5,2,43,45.2,7435,6115
1776591349.9198098,165.7,20.32,29.03,10.5,2,43,45.2,7435,6115
1776591349.9501145,158.63,19.82,28.62,10.4,2,43,45.2,7435,6115
1776591349.9802663,158.16,19.76,28.44,10.5,2,43,45.2,7435,6115
1776591350.013252,155.27,21.36,31.28,10.4,2,43,45.2,7435,6115
1776591350.0463488,155.85,21.3,31.08,10.5,2,43,45.2,7435,6115
1776591350.0764747,153.07,19.63,28.3,10.5,2,43,45.2,7435,6115
1776591350.1064162,146.72,19.75,28.18,10.5,2,43,45.2,7435,6115
1776591350.1408436,163.68,20.79,32.73,10.4,2,43,45.2,7435,6115
1776591350.1733155,168.12,21.57,30.15,10.5,2,43,45.2,7435,6115
1776591350.2048378,165.77,20.57,29.71,10.5,2,43,45.2,7435,6115
1776591350.2368367,163.17,20.39,30.4,10.4,2,43,45.2,7435,6115
1776591350.2683625,162.93,20.65,29.92,10.4,2,43,45.2,7435,6115
1776591350.2991576,159.83,19.8,28.93,10.5,2,43,45.2,7435,6115
1776591350.3313541,158.88,20.29,30.2,10.5,2,43,45.2,7435,6115
1776591350.362797,156.91,20.81,29.57,10.5,2,43,45.2,7435,6115
1776591350.395539,154.62,20.76,30.94,10.4,2,43,45.2,7435,6115
1776591350.4268126,153.59,20.38,29.47,10.4,2,43,45.2,7435,6115
1776591350.4582958,170.04,20.1,29.24,10.4,2,43,45.2,7435,6115
1776591350.4901485,166.11,20.58,30.17,10.5,2,43,45.2,7435,6115
1776591350.5213645,167.28,20.52,29.26,10.4,2,43,45.2,7435,6115
1776591350.5520496,163.63,20.12,29.0,10.5,2,43,45.2,7435,6115
1776591350.5831566,160.8,20.04,29.38,10.5,2,43,45.2,7435,6115
1776591350.6142585,155.9,20.06,29.31,10.5,2,43,45.2,7435,6115
