[INFO] [1776591342.749841159] [yolo_node]: Loading TensorRT FP16 model...
WARNING ⚠️ Unable to automatically guess model task, assuming 'task=detect'. Explicitly define task for your model, i.e. 'task=detect', 'segment', 'classify','pose' or 'obb'.
[INFO] [1776591342.754890804] [yolo_node]: Model loaded.
[INFO] [1776591342.761648530] [yolo_node]: Logging to /home/moon/jeongin/Pixhawk_ReID/results/20260419_183528/log.csv
Loading /home/moon/jeongin/Pixhawk_ReID/ros2_nodes/../models/yolo26n.engine for TensorRT inference...
[04/19/2026-18:35:44] [TRT] [I] Loaded engine size: 8 MiB
[04/19/2026-18:35:44] [TRT] [W] Using an engine plan file across different models of devices is not recommended and is likely to affect performance or even cause errors.
[04/19/2026-18:35:45] [TRT] [I] [MemUsageChange] TensorRT-managed allocation in engine deserialization: CPU +0, GPU +4, now: CPU 0, GPU 4 (MiB)
[04/19/2026-18:35:45] [TRT] [I] [MemUsageChange] TensorRT-managed allocation in IExecutionContext creation: CPU +0, GPU +9, now: CPU 0, GPU 13 (MiB)
ROS=161.0ms | YOLO=20.4ms | total=29.5ms | ROI=10.6KB | det=2 | GPU=16% | pwr=7396mW
ROS=160.6ms | YOLO=20.1ms | total=29.5ms | ROI=10.7KB | det=2 | GPU=16% | pwr=7396mW
ROS=159.9ms | YOLO=20.1ms | total=29.6ms | ROI=10.8KB | det=2 | GPU=16% | pwr=7396mW
ROS=148.9ms | YOLO=20.0ms | total=29.6ms | ROI=10.8KB | det=2 | GPU=16% | pwr=7396mW
ROS=157.3ms | YOLO=20.2ms | total=29.7ms | ROI=10.7KB | det=2 | GPU=16% | pwr=7396mW
ROS=150.5ms | YOLO=20.4ms | total=29.7ms | ROI=10.7KB | det=2 | GPU=16% | pwr=7396mW
ROS=149.3ms | YOLO=20.8ms | total=29.9ms | ROI=10.7KB | det=2 | GPU=16% | pwr=7396mW
ROS=164.5ms | YOLO=20.2ms | total=29.2ms | ROI=10.7KB | det=2 | GPU=16% | pwr=7396mW
ROS=163.3ms | YOLO=20.3ms | total=29.3ms | ROI=10.6KB | det=2 | GPU=16% | pwr=7396mW
ROS=159.1ms | YOLO=20.3ms | total=29.3ms | ROI=10.3KB | det=2 | GPU=16% | pwr=7396mW
ROS=160.0ms | YOLO=20.6ms | total=29.8ms | ROI=10.2KB | det=2 | GPU=16% | pwr=7396mW
ROS=158.9ms | YOLO=19.9ms | total=29.4ms | ROI=10.1KB | det=2 | GPU=16% | pwr=7396mW
ROS=155.8ms | YOLO=20.2ms | total=29.8ms | ROI=10.2KB | det=2 | GPU=16% | pwr=7396mW
ROS=155.3ms | YOLO=20.2ms | total=29.5ms | ROI=10.3KB | det=2 | GPU=16% | pwr=7396mW
ROS=153.4ms | YOLO=20.1ms | total=29.4ms | ROI=10.3KB | det=2 | GPU=16% | pwr=7396mW
ROS=160.8ms | YOLO=20.1ms | total=30.5ms | ROI=10.2KB | det=2 | GPU=16% | pwr=7396mW
ROS=165.9ms | YOLO=20.5ms | total=30.0ms | ROI=10.2KB | det=2 | GPU=16% | pwr=7396mW
ROS=162.5ms | YOLO=21.1ms | total=30.5ms | ROI=10.2KB | det=2 | GPU=16% | pwr=7396mW
ROS=163.6ms | YOLO=20.5ms | total=30.0ms | ROI=10.1KB | det=2 | GPU=16% | pwr=7396mW
ROS=161.7ms | YOLO=20.1ms | total=29.7ms | ROI=10.2KB | det=2 | GPU=16% | pwr=7396mW
ROS=160.3ms | YOLO=20.1ms | total=29.0ms | ROI=10.1KB | det=2 | GPU=16% | pwr=7396mW
ROS=156.0ms | YOLO=19.9ms | total=28.8ms | ROI=9.6KB | det=2 | GPU=16% | pwr=7396mW
ROS=154.3ms | YOLO=20.3ms | total=29.2ms | ROI=9.6KB | det=2 | GPU=16% | pwr=7396mW
ROS=151.6ms | YOLO=19.7ms | total=28.9ms | ROI=9.8KB | det=2 | GPU=16% | pwr=7396mW
ROS=165.5ms | YOLO=20.5ms | total=30.5ms | ROI=9.7KB | det=2 | GPU=16% | pwr=7396mW
ROS=165.5ms | YOLO=21.5ms | total=31.4ms | ROI=9.8KB | det=2 | GPU=16% | pwr=7396mW
ROS=165.6ms | YOLO=21.1ms | total=31.2ms | ROI=10.0KB | det=2 | GPU=16% | pwr=7396mW
ROS=165.3ms | YOLO=20.8ms | total=30.4ms | ROI=10.2KB | det=2 | GPU=16% | pwr=7396mW
ROS=166.8ms | YOLO=20.1ms | total=29.3ms | ROI=10.1KB | det=2 | GPU=16% | pwr=7396mW
ROS=161.6ms | YOLO=20.4ms | total=30.5ms | ROI=10.0KB | det=2 | GPU=34% | pwr=7396mW
ROS=161.3ms | YOLO=20.6ms | total=30.2ms | ROI=10.0KB | det=2 | GPU=34% | pwr=7396mW
ROS=160.1ms | YOLO=20.3ms | total=30.0ms | ROI=10.1KB | det=2 | GPU=34% | pwr=7396mW
ROS=159.8ms | YOLO=20.1ms | total=30.5ms | ROI=10.1KB | det=2 | GPU=34% | pwr=7396mW
ROS=160.0ms | YOLO=20.8ms | total=29.5ms | ROI=10.2KB | det=2 | GPU=34% | pwr=7396mW
ROS=156.1ms | YOLO=19.7ms | total=28.9ms | ROI=10.4KB | det=2 | GPU=34% | pwr=7396mW
ROS=152.8ms | YOLO=20.3ms | total=30.5ms | ROI=10.5KB | det=1 | GPU=34% | pwr=7396mW
ROS=152.5ms | YOLO=20.5ms | total=32.5ms | ROI=10.7KB | det=2 | GPU=34% | pwr=7396mW
ROS=151.4ms | YOLO=20.1ms | total=29.8ms | ROI=10.7KB | det=1 | GPU=34% | pwr=7396mW
ROS=168.2ms | YOLO=20.4ms | total=30.0ms | ROI=10.6KB | det=2 | GPU=34% | pwr=7396mW
ROS=167.4ms | YOLO=19.9ms | total=28.8ms | ROI=10.6KB | det=1 | GPU=34% | pwr=7396mW
ROS=165.2ms | YOLO=19.9ms | total=29.2ms | ROI=10.6KB | det=2 | GPU=34% | pwr=7396mW
ROS=164.2ms | YOLO=21.6ms | total=30.3ms | ROI=10.5KB | det=2 | GPU=34% | pwr=7396mW
ROS=162.7ms | YOLO=20.0ms | total=28.6ms | ROI=10.5KB | det=1 | GPU=34% | pwr=7396mW
ROS=156.4ms | YOLO=19.9ms | total=28.9ms | ROI=10.5KB | det=1 | GPU=34% | pwr=7396mW
ROS=156.0ms | YOLO=20.1ms | total=28.8ms | ROI=10.5KB | det=1 | GPU=34% | pwr=7396mW
ROS=152.5ms | YOLO=20.1ms | total=30.2ms | ROI=10.5KB | det=1 | GPU=34% | pwr=7396mW
ROS=154.0ms | YOLO=20.6ms | total=30.1ms | ROI=10.5KB | det=1 | GPU=34% | pwr=7396mW
ROS=151.7ms | YOLO=20.2ms | total=29.0ms | ROI=10.5KB | det=1 | GPU=34% | pwr=7396mW
ROS=159.1ms | YOLO=20.2ms | total=29.0ms | ROI=10.5KB | det=1 | GPU=34% | pwr=7396mW
ROS=164.9ms | YOLO=21.4ms | total=31.8ms | ROI=10.5KB | det=1 | GPU=34% | pwr=7396mW
ROS=165.2ms | YOLO=21.0ms | total=32.9ms | ROI=10.5KB | det=1 | GPU=34% | pwr=7396mW
ROS=166.4ms | YOLO=20.0ms | total=29.1ms | ROI=10.5KB | det=1 | GPU=34% | pwr=7396mW
ROS=163.7ms | YOLO=20.2ms | total=29.1ms | ROI=10.5KB | det=1 | GPU=34% | pwr=7396mW
ROS=162.4ms | YOLO=20.4ms | total=29.1ms | ROI=10.5KB | det=1 | GPU=34% | pwr=7396mW
ROS=156.7ms | YOLO=20.0ms | total=29.0ms | ROI=10.5KB | det=1 | GPU=34% | pwr=7396mW
