timestamp,event,state,detections,nav_state
1776597247.3093338,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597247.3107321,ARM_CMD,TRACKING,0,0
1776597247.4110317,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597247.4122767,ARM_CMD,TRACKING,0,0
1776597247.5097606,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597247.5108721,ARM_CMD,TRACKING,0,0
1776597247.609448,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597247.610957,ARM_CMD,TRACKING,0,0
1776597247.7097754,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597247.710863,ARM_CMD,TRACKING,0,0
1776597247.8092062,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597247.8102,ARM_CMD,TRACKING,0,0
1776597247.9101691,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597247.912029,ARM_CMD,TRACKING,0,0
1776597248.009722,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597248.0111232,ARM_CMD,TRACKING,0,0
1776597248.1095266,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597248.1110327,ARM_CMD,TRACKING,0,0
1776597248.2098346,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597248.211021,ARM_CMD,TRACKING,0,0
1776597248.3096948,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597248.3119514,ARM_CMD,TRACKING,0,0
1776597248.4099996,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597248.4117494,ARM_CMD,TRACKING,0,0
1776597248.5096188,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597248.5106504,ARM_CMD,TRACKING,0,0
1776597248.6091032,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597248.610617,ARM_CMD,TRACKING,0,0
1776597248.7100053,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597248.7118134,ARM_CMD,TRACKING,0,0
1776597248.8106525,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597248.8118901,ARM_CMD,TRACKING,0,0
1776597248.9103703,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597248.9116645,ARM_CMD,TRACKING,0,0
1776597249.0100465,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597249.0116844,ARM_CMD,TRACKING,0,0
1776597249.1103446,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597249.1120741,ARM_CMD,TRACKING,0,0
1776597249.20984,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597249.2111537,ARM_CMD,TRACKING,0,0
1776597249.3097582,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597249.3111055,ARM_CMD,TRACKING,0,0
1776597249.4104486,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597249.4119854,ARM_CMD,TRACKING,0,0
1776597249.5259967,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597249.5278182,ARM_CMD,TRACKING,0,0
1776597249.6092515,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597249.6103103,ARM_CMD,TRACKING,0,0
1776597249.7100303,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597249.7110002,ARM_CMD,TRACKING,0,0
1776597249.810123,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597249.811137,ARM_CMD,TRACKING,0,0
1776597249.9102037,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597249.9111753,ARM_CMD,TRACKING,0,0
1776597250.0099716,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597250.0114229,ARM_CMD,TRACKING,0,0
1776597250.1101108,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597250.111287,ARM_CMD,TRACKING,0,0
1776597250.2098527,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597250.2107797,ARM_CMD,TRACKING,0,0
1776597250.3098767,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597250.3107514,ARM_CMD,TRACKING,0,0
1776597250.4094844,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597250.410395,ARM_CMD,TRACKING,0,0
1776597250.51094,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597250.5118241,ARM_CMD,TRACKING,0,0
1776597250.6097388,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597250.6110034,ARM_CMD,TRACKING,0,0
1776597250.7095728,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597250.712523,ARM_CMD,TRACKING,0,0
1776597250.8097274,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597250.810634,ARM_CMD,TRACKING,0,0
1776597250.9102182,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597250.911083,ARM_CMD,TRACKING,0,0
1776597251.0097136,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597251.010684,ARM_CMD,TRACKING,0,0
1776597251.1094337,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597251.110325,ARM_CMD,TRACKING,0,0
1776597251.2102523,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597251.2114227,ARM_CMD,TRACKING,0,0
1776597251.309906,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597251.3115065,ARM_CMD,TRACKING,0,0
1776597251.4096007,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597251.4105058,ARM_CMD,TRACKING,0,0
1776597251.510094,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597251.5112662,ARM_CMD,TRACKING,0,0
1776597251.6095805,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597251.6105022,ARM_CMD,TRACKING,0,0
1776597251.7107234,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597251.711634,ARM_CMD,TRACKING,0,0
1776597251.809577,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597251.8105645,ARM_CMD,TRACKING,0,0
1776597251.9099553,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597251.9110687,ARM_CMD,TRACKING,0,0
1776597252.0097923,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597252.0107028,ARM_CMD,TRACKING,0,0
1776597252.11009,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597252.1111574,ARM_CMD,TRACKING,0,0
1776597252.2097979,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597252.2106943,ARM_CMD,TRACKING,0,0
1776597252.3096294,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597252.3105068,ARM_CMD,TRACKING,0,0
1776597252.4099116,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597252.410905,ARM_CMD,TRACKING,0,0
1776597252.5095925,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597252.510427,ARM_CMD,TRACKING,0,0
1776597252.6100144,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597252.6115937,ARM_CMD,TRACKING,0,0
