event_id,label_type,time,count,maglat,Bmag,in_saa,detector,channel,note
15,e,2023-08-02 05:30:00+00:00,0.5288888888888889,24.0,25566.2,False,metop03,omni_p6,
16,o,2023-08-05 02:45:00+00:00,0.48,25.0,25319.2,False,metop03,omni_p6,
16,p,2023-08-05 12:00:00+00:00,844.8927777777777,0.6,17491.0,True,metop03,omni_p6,
16,e,2023-08-07 21:15:00+00:00,0.1344444444444444,30.6,27378.9,False,metop03,omni_p6,
17,o,2023-08-07 17:00:00+00:00,0.2533333333333333,-45.8,34243.1,False,metop03,omni_p6,
17,p,2023-08-08 21:45:00+00:00,34.31444444444445,-28.6,18786.3,True,metop03,omni_p6,
17,e,2023-08-11 17:45:00+00:00,0.7477777777777778,53.2,37685.2,False,metop03,omni_p6,
18,o,2023-08-31 18:30:00+00:00,0.6255555555555555,-84.5,40640.3,False,metop03,omni_p6,
18,p,2023-09-01 01:30:00+00:00,1014.5944444444444,-30.3,17806.9,True,metop03,omni_p6,
18,e,2023-09-03 06:30:00+00:00,0.6311111111111111,70.6,41292.1,False,metop03,omni_p6,
19,o,2023-12-14 16:00:00+00:00,0.2088888888888888,-11.9,28067.6,False,metop03,omni_p6,
19,p,2023-12-15 18:45:00+00:00,0.7611111111111111,-66.7,32743.2,False,metop03,omni_p6,
19,e,2023-12-17 05:45:00+00:00,0.45,-21.3,25487.1,False,metop03,omni_p6,
20,o,2024-01-01 17:00:00+00:00,0.53,76.7,40238.8,False,metop03,omni_p6,
20,p,2024-01-04 01:45:00+00:00,934.85,-26.8,17350.4,True,metop03,omni_p6,
20,e,2024-01-10 17:15:00+00:00,0.5244444444444444,72.8,40189.1,False,metop03,omni_p6,
21,o,2024-01-28 18:15:00+00:00,0.5422222222222222,-43.5,32924.6,False,metop03,omni_p6,
21,p,2024-01-29 12:30:00+00:00,885.3766666666668,30.4,24523.0,True,metop03,omni_p6,
