gate_N,agg_rule,reference,chosen_threshold,n_det,POD,event_FAR,precision,F1,duty_cycle,calls_per_day,n_det_th099,POD_th099,event_FAR_th099,F1_th099
2,any,manual,0.93,1058,0.8679245283018868,0.25806451612903225,0.7419354838709677,0.8,0.06841518611092347,6.567857866648653,730,0.6037735849056604,0.21951219512195122,0.6808510638297872
2,max,noaa,0.99,730,0.9047619047619048,0.13636363636363635,0.8636363636363636,0.8837209302325582,0.06841518611092347,6.567857866648653,730,0.9047619047619048,0.13636363636363635,0.8837209302325582
2,max,manual,0.93,1058,0.8679245283018868,0.25806451612903225,0.7419354838709677,0.8,0.06841518611092347,6.567857866648653,730,0.6037735849056604,0.21951219512195122,0.6808510638297872
3,1,noaa,0.95,406,0.8333333333333334,0.10256410256410256,0.8974358974358975,0.8641975308641975,0.004091231507126934,0.39275822468418564,376,0.8095238095238095,0.08108108108108109,0.860759493670886
3,1,manual,0.95,406,0.5283018867924528,0.2222222222222222,0.7777777777777778,0.6292134831460674,0.004091231507126934,0.39275822468418564,376,0.49056603773584906,0.21212121212121213,0.6046511627906975
3,2,noaa,0.85,212,0.7380952380952381,0.06060606060606061,0.9393939393939394,0.8266666666666667,0.004091231507126934,0.39275822468418564,186,0.6666666666666666,0.06666666666666667,0.7777777777777778
3,2,manual,0.85,212,0.4339622641509434,0.17857142857142858,0.8214285714285714,0.5679012345679013,0.004091231507126934,0.39275822468418564,186,0.39622641509433965,0.19230769230769232,0.5316455696202532
3,3,noaa,0.85,184,0.6666666666666666,0.06666666666666667,0.9333333333333333,0.7777777777777778,0.004091231507126934,0.39275822468418564,151,0.6428571428571429,0.06896551724137931,0.7605633802816901
3,3,manual,0.85,184,0.39622641509433965,0.19230769230769232,0.8076923076923077,0.5316455696202532,0.004091231507126934,0.39275822468418564,151,0.37735849056603776,0.2,0.5128205128205128
3,4,noaa,0.85,53,0.42857142857142855,0.05263157894736842,0.9473684210526315,0.5901639344262295,0.004091231507126934,0.39275822468418564,48,0.42857142857142855,0.05263157894736842,0.5901639344262295
3,4,manual,0.85,53,0.20754716981132076,0.3888888888888889,0.6111111111111112,0.3098591549295775,0.004091231507126934,0.39275822468418564,48,0.20754716981132076,0.3888888888888889,0.3098591549295775
3,any,noaa,0.95,402,0.8333333333333334,0.10256410256410256,0.8974358974358975,0.8641975308641975,0.004091231507126934,0.39275822468418564,370,0.8095238095238095,0.08108108108108109,0.860759493670886
