event_id,onset_time,onset_count,peak_time,peak_count,end_time,end_count
52,2025-10-21 16:00:00+00:00,0.2966666666666667,2025-10-22 11:00:00+00:00,0.8733333333333333,2025-10-26 23:30:00+00:00,0.3388888888888888
53,2025-11-04 19:00:00+00:00,0.7422222222222222,2025-11-05 13:15:00+00:00,975.1977777777778,2025-11-06 18:45:00+00:00,0.1488888888888889
54,2024-09-23 17:45:00+00:00,0.64,2024-09-24 12:15:00+00:00,0.9755555555555556,2024-09-26 18:00:00+00:00,0.32
55,2024-01-22 06:15:00+00:00,0.5077777777777778,2024-01-22 15:15:00+00:00,0.73,2024-01-23 06:00:00+00:00,0.2433333333333333
56,2023-07-24 16:45:00+00:00,0.3877777777777778,2023-07-25 12:00:00+00:00,1.57,2023-07-28 15:30:00+00:00,0.1411111111111111
57,2023-07-15 19:15:00+00:00,0.1855555555555555,2023-07-16 08:30:00+00:00,0.7144444444444444,2023-07-17 20:45:00+00:00,1.237777777777778
58,2023-07-10 06:00:00+00:00,0.9766666666666668,2023-07-10 21:15:00+00:00,0.9977777777777778,2023-07-11 15:00:00+00:00,0.7055555555555556
59,2022-07-09 06:15:00+00:00,0.3388888888888888,2022-07-09 14:00:00+00:00,217.8211111111111,2022-07-10 07:15:00+00:00,0.5911111111111111
60,2021-05-28 17:15:00+00:00,0.9533333333333333,2021-05-29 01:00:00+00:00,1039.5277777777778,2021-05-30 05:00:00+00:00,0.2366666666666666
61,2020-11-29 23:45:00+00:00,545.6049425287357,2020-12-01 01:00:00+00:00,1011.4983333333332,2020-12-03 21:45:00+00:00,0.86
