phys_ts,n_channels,zbuf_update_ms
1647997200.0,1,0.00426
1647998100.0,1,0.00797
1647999000.0,1,0.00474
1647999900.0,1,0.00672
1648000800.0,1,0.00579
1648001700.0,1,0.00675
1648002600.0,1,0.00675
1648003500.0,1,0.00474
1648004400.0,1,0.00525
1648005300.0,1,0.00746
1648006200.0,1,0.00515
1648007100.0,1,0.00576
1648008000.0,1,0.00592
1648008900.0,1,0.0063
1648009800.0,1,0.00595
1648010700.0,1,0.00566
1648011600.0,1,0.00493
1648012500.0,1,0.00541
1648013400.0,1,0.00525
1648014300.0,1,0.00624
1648015200.0,1,0.00816
1648016100.0,1,0.00822
1648017000.0,1,0.00694
1648017900.0,1,0.00438
1648018800.0,1,0.00288
1648019700.0,1,0.00387
1648020600.0,1,0.00272
1648021500.0,1,0.00454
1648022400.0,1,0.00637
1648023300.0,1,0.0065
1648024200.0,1,0.00467
1648025100.0,1,0.00314
1648026000.0,1,0.0024
1648026900.0,1,0.0025
1648027800.0,1,0.00278
1648028700.0,1,0.00496
1648029600.0,1,0.00643
1648030500.0,1,0.00608
1648031400.0,1,0.00375
1648032300.0,1,0.00314
1648033200.0,1,0.00362
1648034100.0,1,0.00346
1648035000.0,1,0.004
1648035900.0,1,0.00291
1648036800.0,1,0.00704
1648037700.0,1,0.00595
1648038600.0,1,0.00397
1648039500.0,1,0.00291
1648040400.0,1,0.00432
1648041300.0,1,0.00336
1648042200.0,1,0.0031
1648043100.0,1,0.00288
1648044000.0,1,0.0055
1648044900.0,1,0.00624
1648045800.0,1,0.00525
1648046700.0,1,0.00349
1648047600.0,1,0.00326
1648048500.0,1,0.00269
1648049400.0,1,0.00262
1648050300.0,1,0.00262
1648051200.0,1,0.00678
1648052100.0,1,0.00528
1648053000.0,1,0.00403
1648053900.0,1,0.00435
1648054800.0,1,0.00301
1648055700.0,1,0.00288
1648056600.0,1,0.00256
1648057500.0,1,0.00282
1648058400.0,1,0.00586
1648059300.0,1,0.0073
1648060200.0,1,0.00714
1648061100.0,1,0.00698
1648062000.0,1,0.00662
1648062900.0,1,0.00688
1648063800.0,1,0.00563
1648064700.0,1,0.00554
1648065600.0,1,0.00694
1648066500.0,1,0.00947
1648067400.0,1,0.00736
1648068300.0,1,0.008
1648069200.0,1,0.00678
1648070100.0,1,0.00867
1648071000.0,1,0.00813
1648071900.0,1,0.0072
1648072800.0,1,0.00749
1648073700.0,1,0.00822
1648074600.0,1,0.00797
1648075500.0,1,0.00679
1648076400.0,1,0.00755
1648077300.0,1,0.00922
1648078200.0,1,0.00768
1648079100.0,1,0.00694
1648080000.0,1,0.00704
1648080900.0,1,0.00742
1648081800.0,1,0.00797
1648082700.0,1,0.00736
1648083600.0,1,0.00794
1648084500.0,1,0.00656
1648085400.0,1,0.00685
1648086300.0,1,0.00669
1648087200.0,1,0.00691
1648088100.0,1,0.0088
1648089000.0,1,0.0071
1648089900.0,1,0.00586
1648090800.0,1,0.00611
1648091700.0,1,0.00736
1648092600.0,1,0.00643
1648093500.0,1,0.00614
1648094400.0,1,0.00618
1648095300.0,1,0.0065
1648096200.0,1,0.00678
1648097100.0,1,0.00672
1648098000.0,1,0.00624
1648098900.0,1,0.0064
1648099800.0,1,0.00621
1648100700.0,1,0.00643
1648101600.0,1,0.00669
1648102500.0,1,0.00704
1648103400.0,1,0.00896
1648104300.0,1,0.00755
1648105200.0,1,0.00707
1648106100.0,1,0.00838
1648107000.0,1,0.00768
1648107900.0,1,0.00602
1648108800.0,1,0.00541
1648109700.0,1,0.00688
1648110600.0,1,0.00749
1648111500.0,1,0.00666
1648112400.0,1,0.00602
1648113300.0,1,0.00915
1648114200.0,1,0.00554
1648115100.0,1,0.00624
1648116000.0,1,0.0063
1648116900.0,1,0.0079
1648117800.0,1,0.0081
1648118700.0,1,0.00717
1648119600.0,1,0.00608
1648120500.0,1,0.00592
1648121400.0,1,0.00627
1648122300.0,1,0.0063
1648123200.0,1,0.00733
1648124100.0,1,0.00711
1648125000.0,1,0.00726
1648125900.0,1,0.00701
1648126800.0,1,0.0065
1648127700.0,1,0.00765
1648128600.0,1,0.00688
1648129500.0,1,0.00768
1648130400.0,1,0.00717
1648131300.0,1,0.0071
1648132200.0,1,0.00714
1648133100.0,1,0.00678
1648134000.0,1,0.00685
1648134900.0,1,0.00634
1648135800.0,1,0.00682
1648136700.0,1,0.0056
1648137600.0,1,0.00659
1648138500.0,1,0.0065
1648139400.0,1,0.00698
1648140300.0,1,0.00698
1648141200.0,1,0.00672
1648142100.0,1,0.00861
1648143000.0,1,0.00775
1648143900.0,1,0.00774
1648144800.0,1,0.0287
1648145700.0,1,0.00711
1648146600.0,1,0.00701
1648147500.0,1,0.00867
1648148400.0,1,0.00749
1648149300.0,1,0.00851
1648150200.0,1,0.00727
1648151100.0,1,0.00618
1648152000.0,1,0.00643
1648152900.0,1,0.00646
1648153800.0,1,0.00768
1648154700.0,1,0.00774
1648155600.0,1,0.00771
