timestamp,window_d,k,wp_eval_ms,dds_transport_ms,fsm_infer_ms,node_latency_ms,ap_state,rpn_result,fail_count,trigger_channels,gpu_%,cpu_%,power_mW,ram_MB
1781431772.592569,30,10,1.5825,0.86,0.0332,0.361,NOMINAL,NORMAL,0,,0,13.8,4880,3071
1781431772.7190685,30,10,2.7015,1.087,0.0351,0.409,NOMINAL,NORMAL,0,,0,13.8,4880,3071
1781431772.8428087,30,10,1.5945,1.026,0.0376,0.424,NOMINAL,NORMAL,0,,0,13.8,4880,3071
1781431772.9674613,30,10,1.51,1.001,0.0381,0.404,NOMINAL,NORMAL,0,,0,13.8,4880,3071
1781431773.0942318,30,10,2.8666,1.089,0.0367,0.367,NOMINAL,NORMAL,0,,0,13.8,4880,3071
1781431773.2180855,30,10,2.31,0.739,0.0235,0.248,NOMINAL,NORMAL,0,,0,13.8,4880,3071
1781431773.3439822,30,10,2.6871,1.018,0.0357,0.379,NOMINAL,NORMAL,0,,0,13.8,4880,3071
1781431773.4681568,30,10,2.2904,0.764,0.0237,0.255,NOMINAL,NORMAL,0,,0,13.8,4880,3071
1781431773.5940473,30,10,2.7227,1.038,0.0356,0.387,NOMINAL,NORMAL,0,,27,13.7,4888,3071
1781431773.7196217,30,10,2.6574,1.119,0.0361,0.38,NOMINAL,NORMAL,0,,27,13.7,4888,3071
1781431773.8433824,30,10,2.4086,1.088,0.0276,0.381,NOMINAL,NORMAL,0,,27,13.7,4888,3071
1781431773.9692826,30,10,2.8046,1.191,0.0362,0.382,NOMINAL,NORMAL,0,,27,13.7,4888,3071
1781431774.0939987,30,10,2.9627,0.866,0.0244,0.265,NOMINAL,NORMAL,0,,27,13.7,4888,3071
1781431774.2191315,30,10,2.8662,1.034,0.0362,0.374,NOMINAL,NORMAL,0,,27,13.7,4888,3071
1781431774.3441103,30,10,2.7748,1.036,0.0358,0.415,NOMINAL,NORMAL,0,,27,13.7,4888,3071
1781431774.467438,30,10,1.6122,0.769,0.0239,0.252,NOMINAL,NORMAL,0,,27,13.7,4888,3071
1781431774.5942125,30,10,2.9125,1.037,0.0367,0.381,NOMINAL,NORMAL,0,,0,14.2,4880,3071
1781431774.7192652,30,10,2.7566,1.089,0.0376,0.396,NOMINAL,NORMAL,0,,0,14.2,4880,3071
1781431774.8436823,30,10,2.4735,1.113,0.0241,0.313,NOMINAL,NORMAL,0,,0,14.2,4880,3071
1781431774.9692419,30,10,2.8385,1.102,0.0359,0.389,NOMINAL,NORMAL,0,,0,14.2,4880,3071
1781431775.0934856,30,10,2.4972,0.885,0.0232,0.26,NOMINAL,NORMAL,0,,0,14.2,4880,3071
1781431775.217257,30,10,1.5225,0.886,0.0364,0.376,NOMINAL,NORMAL,0,,0,14.2,4880,3071
1781431775.34452,30,10,3.127,1.13,0.0368,0.376,NOMINAL,NORMAL,0,,0,14.2,4880,3071
1781431775.468224,30,10,2.0149,1.276,0.0353,0.379,NOMINAL,NORMAL,0,,0,14.2,4880,3071
1781431775.593937,30,10,2.7313,1.015,0.0357,0.368,NOMINAL,NORMAL,0,,0,14.2,4848,3072
1781431775.71902,30,10,2.8428,1.046,0.0265,0.274,NOMINAL,NORMAL,0,,0,14.2,4848,3072
1781431775.8440573,30,10,2.7308,1.086,0.0358,0.374,NOMINAL,NORMAL,0,,0,14.2,4848,3072
1781431775.969186,30,10,2.848,1.037,0.0357,0.379,NOMINAL,NORMAL,0,,0,14.2,4848,3072
1781431776.092782,30,10,1.9814,0.759,0.0231,0.243,NOMINAL,NORMAL,0,,0,14.2,4848,3072
1781431776.2191844,30,10,2.8195,1.085,0.0353,0.371,NOMINAL,NORMAL,0,,0,14.2,4848,3072
1781431776.3438618,30,10,2.6806,0.978,0.0349,0.362,NOMINAL,NORMAL,0,,0,14.2,4848,3072
1781431776.4679682,30,10,2.146,0.781,0.0232,0.256,NOMINAL,NORMAL,0,,0,14.2,4848,3072
1781431776.5943553,30,10,3.012,1.098,0.0356,0.371,NOMINAL,NORMAL,0,,0,13.3,4848,3072
1781431776.71874,30,10,2.7795,0.848,0.0241,0.286,NOMINAL,NORMAL,0,,0,13.3,4848,3072
1781431776.8440585,30,10,2.8862,1.019,0.0365,0.367,NOMINAL,NORMAL,0,,0,13.3,4848,3072
1781431776.96922,30,10,2.8844,1.067,0.0364,0.381,NOMINAL,NORMAL,0,,0,13.3,4848,3072
1781431777.092795,30,10,1.7055,1.032,0.0371,0.448,NOMINAL,NORMAL,0,,0,13.3,4848,3072
1781431777.2185671,30,10,2.6285,1.027,0.0374,0.449,NOMINAL,NORMAL,0,,0,13.3,4848,3072
1781431777.3444054,30,10,3.1659,0.964,0.0342,0.339,NOMINAL,NORMAL,0,,0,13.3,4848,3072
1781431777.4683244,30,10,2.3652,0.774,0.0329,0.397,NOMINAL,NORMAL,0,,0,13.3,4848,3072
1781431777.5942419,30,10,2.8444,1.122,0.0367,0.37,NOMINAL,NORMAL,0,,0,13.8,4848,3072
1781431777.7178562,30,10,1.9153,0.845,0.0242,0.273,NOMINAL,NORMAL,0,,0,13.8,4848,3072
1781431777.8424613,30,10,1.6549,0.944,0.0366,0.378,NOMINAL,NORMAL,0,,0,13.8,4848,3072
1781431777.9692,30,10,2.9331,1.009,0.0371,0.375,NOMINAL,NORMAL,0,,0,13.8,4848,3072
1781431778.093228,30,10,2.2021,1.067,0.0372,0.39,NOMINAL,NORMAL,0,,0,13.8,4848,3072
