phys_ts,n_channels,zbuf_update_ms
1642167000.0,1,0.02317
1642167900.0,1,0.02218
1642168800.0,1,0.01965
1642169700.0,1,0.02205
1642170600.0,1,0.03158
1642171500.0,1,0.02359
1642172400.0,1,0.03674
1642173300.0,1,0.03469
1642174200.0,1,0.02214
1642175100.0,1,0.01734
1642176000.0,1,0.01885
1642176900.0,1,0.02218
1642177800.0,1,0.02726
1642178700.0,1,0.03037
1642179600.0,1,0.02816
1642180500.0,1,0.03651
1642181400.0,1,0.02771
1642182300.0,1,0.02403
1642183200.0,1,0.01856
1642184100.0,1,0.02035
1642185000.0,1,0.02874
1642185900.0,1,0.02768
1642186800.0,1,0.02679
1642187700.0,1,0.02522
1642188600.0,1,0.02442
1642189500.0,1,0.03139
1642190400.0,1,0.02275
1642191300.0,1,0.02522
1642192200.0,1,0.03111
1642193100.0,1,0.02986
1642194000.0,1,0.0208
1642194900.0,1,0.03219
1642195800.0,1,0.03114
1642196700.0,1,0.02694
1642197600.0,1,0.02483
1642198500.0,1,0.02134
1642199400.0,1,0.03075
1642200300.0,1,0.02851
1642201200.0,1,0.02634
1642202100.0,1,0.01981
1642203000.0,1,0.0223
1642203900.0,1,0.02202
1642204800.0,1,0.02874
1642205700.0,1,0.01917
1642206600.0,1,0.00963
1642207500.0,1,0.03335
1642208400.0,1,0.01926
1642209300.0,1,0.03437
1642210200.0,1,0.02656
1642211100.0,1,0.02678
1642212000.0,1,0.03837
1642212900.0,1,0.01834
1642213800.0,1,0.01942
1642214700.0,1,0.02794
1642215600.0,1,0.02823
1642216500.0,1,0.03776
1642217400.0,1,0.03472
1642218300.0,1,0.02938
1642219200.0,1,0.02352
1642220100.0,1,0.0161
1642221000.0,1,0.02903
1642221900.0,1,0.03296
1642222800.0,1,0.02861
1642223700.0,1,0.02426
1642224600.0,1,0.02221
1642225500.0,1,0.024
1642226400.0,1,0.02781
1642227300.0,1,0.02598
1642228200.0,1,0.02186
1642229100.0,1,0.00976
1642230000.0,1,0.02931
1642230900.0,1,0.02685
1642231800.0,1,0.02886
1642232700.0,1,0.02451
1642233600.0,1,0.02275
1642234500.0,1,0.02256
1642235400.0,1,0.01997
1642236300.0,1,0.02006
1642237200.0,1,0.02768
1642238100.0,1,0.02659
1642239000.0,1,0.01901
1642239900.0,1,0.02138
1642240800.0,1,0.01651
1642241700.0,1,0.01587
1642242600.0,1,0.02154
1642243500.0,1,0.02339
1642244400.0,1,0.01434
1642245300.0,1,0.02502
1642246200.0,1,0.0256
1642247100.0,1,0.0208
1642248000.0,1,0.01997
1642248900.0,1,0.01415
1642249800.0,1,0.01302
1642250700.0,1,0.02112
1642251600.0,1,0.01709
1642252500.0,1,0.03146
1642253400.0,1,0.05194
1642254300.0,1,0.01709
1642255200.0,1,0.01859
1642256100.0,1,0.01274
1642257000.0,1,0.0191
1642257900.0,1,0.02346
1642258800.0,1,0.01581
1642259700.0,1,0.01181
1642260600.0,1,0.01338
1642261500.0,1,0.01062
1642262400.0,1,0.01002
1642263300.0,1,0.0151
1642264200.0,1,0.01152
1642265100.0,1,0.01552
1642266000.0,1,0.01536
1642266900.0,1,0.02579
1642267800.0,1,0.02208
1642268700.0,1,0.01703
1642269600.0,1,0.01747
1642270500.0,1,0.01158
1642271400.0,1,0.00992
1642272300.0,1,0.01914
1642273200.0,1,0.01341
1642274100.0,1,0.00992
1642275000.0,1,0.0111
1642275900.0,1,0.01622
1642276800.0,1,0.01382
1642277700.0,1,0.03949
1642278600.0,1,0.00963
1642279500.0,1,0.00826
1642280400.0,1,0.03434
1642281300.0,1,0.03939
1642282200.0,1,0.00848
1642283100.0,1,0.02278
1642284000.0,1,0.01715
1642284900.0,1,0.0193
1642285800.0,1,0.01264
1642286700.0,1,0.00893
1642287600.0,1,0.01664
1642288500.0,1,0.02685
1642289400.0,1,0.01354
1642290300.0,1,0.01622
1642291200.0,1,0.01562
1642292100.0,1,0.00832
1642293000.0,1,0.00669
1642293900.0,1,0.00621
1642294800.0,1,0.02835
1642295700.0,1,0.02291
1642296600.0,1,0.01719
1642297500.0,1,0.01971
1642298400.0,1,0.01613
1642299300.0,1,0.01091
1642300200.0,1,0.01066
1642301100.0,1,0.01078
1642302000.0,1,0.02429
1642302900.0,1,0.01946
1642303800.0,1,0.01488
1642304700.0,1,0.00896
1642305600.0,1,0.00874
1642306500.0,1,0.01766
1642307400.0,1,0.01859
1642308300.0,1,0.01155
1642309200.0,1,0.01789
1642310100.0,1,0.01466
1642311000.0,1,0.02771
1642311900.0,1,0.02784
1642312800.0,1,0.02352
1642313700.0,1,0.01974
1642314600.0,1,0.01699
1642315500.0,1,0.0207
1642316400.0,1,0.01622
1642317300.0,1,0.03267
1642318200.0,1,0.0215
1642319100.0,1,0.02262
1642320000.0,1,0.01837
1642320900.0,1,0.01942
1642321800.0,1,0.03162
1642322700.0,1,0.02102
1642323600.0,1,0.00794
1642324500.0,1,0.00829
1642325400.0,1,0.02701
1642326300.0,1,0.0175
1642327200.0,1,0.00806
1642328100.0,1,0.02
1642329000.0,1,0.01971
1642329900.0,1,0.01802
1642330800.0,1,0.01859
1642331700.0,1,0.02288
1642332600.0,1,0.02083
1642333500.0,1,0.02234
1642334400.0,1,0.02381
1642335300.0,1,0.00938
1642336200.0,1,0.01875
1642337100.0,1,0.01533
1642338000.0,1,0.02378
1642338900.0,1,0.02701
1642339800.0,1,0.02599
1642340700.0,1,0.02944
1642341600.0,1,0.02474
1642342500.0,1,0.01923
1642343400.0,1,0.01853
1642344300.0,1,0.01875
1642345200.0,1,0.02272
1642346100.0,1,0.02544
1642347000.0,1,0.02144
1642347900.0,1,0.03079
1642348800.0,1,0.02765
1642349700.0,1,0.02307
1642350600.0,1,0.02778
1642351500.0,1,0.02506
1642352400.0,1,0.01219
1642353300.0,1,0.0369
1642354200.0,1,0.03427
1642355100.0,1,0.0377
1642356000.0,1,0.02624
1642356900.0,1,0.02691
1642357800.0,1,0.0255
