08-09-2026 19:34:50 RAM 2985/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [19%@729,8%@729,3%@729,1%@729,1%@729,1%@729] GR3D_FREQ 10% cpu@48.437C soc2@47.562C soc0@46.125C gpu@47.843C tj@48.406C soc1@46C VDD_IN 4385mW/4391mW VDD_CPU_GPU_CV 756mW/748mW VDD_SOC 1355mW/1343mW
08-09-2026 19:34:51 RAM 2985/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [10%@1510,13%@1510,4%@1510,6%@1510,8%@729,3%@729] GR3D_FREQ 7% cpu@48.375C soc2@47.531C soc0@46.25C gpu@47.562C tj@48.375C soc1@46.031C VDD_IN 4505mW/4395mW VDD_CPU_GPU_CV 796mW/749mW VDD_SOC 1355mW/1343mW
08-09-2026 19:34:52 RAM 2985/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [4%@729,0%@729,4%@729,1%@729,25%@729,4%@729] GR3D_FREQ 6% cpu@48.437C soc2@47.625C soc0@46.187C gpu@47.593C tj@48.437C soc1@46.125C VDD_IN 4425mW/4396mW VDD_CPU_GPU_CV 756mW/750mW VDD_SOC 1355mW/1343mW
08-09-2026 19:34:53 RAM 2985/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [2%@729,1%@729,3%@729,6%@729,24%@729,1%@729] GR3D_FREQ 7% cpu@48.375C soc2@47.562C soc0@46.281C gpu@47.625C tj@48.375C soc1@45.875C VDD_IN 4425mW/4397mW VDD_CPU_GPU_CV 756mW/750mW VDD_SOC 1355mW/1344mW
08-09-2026 19:34:54 RAM 2985/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [3%@729,2%@729,5%@729,2%@729,0%@729,18%@729] GR3D_FREQ 12% cpu@48.531C soc2@47.5C soc0@46.125C gpu@47.968C tj@48.531C soc1@45.906C VDD_IN 4425mW/4398mW VDD_CPU_GPU_CV 756mW/750mW VDD_SOC 1355mW/1344mW
08-09-2026 19:34:55 RAM 2985/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [5%@729,3%@729,0%@729,1%@729,1%@729,25%@729] GR3D_FREQ 7% cpu@48.406C soc2@47.593C soc0@46.062C gpu@47.906C tj@48.25C soc1@45.968C VDD_IN 4385mW/4397mW VDD_CPU_GPU_CV 756mW/750mW VDD_SOC 1355mW/1344mW
08-09-2026 19:34:56 RAM 2985/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [3%@729,1%@729,3%@729,1%@729,1%@729,28%@729] GR3D_FREQ 6% cpu@48.312C soc2@47.437C soc0@46.187C gpu@47.906C tj@48.312C soc1@46.125C VDD_IN 4425mW/4398mW VDD_CPU_GPU_CV 756mW/750mW VDD_SOC 1355mW/1345mW
08-09-2026 19:34:57 RAM 2985/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [3%@729,3%@729,4%@729,1%@729,0%@729,28%@729] GR3D_FREQ 7% cpu@48.375C soc2@47.5C soc0@46.281C gpu@47.968C tj@48.375C soc1@45.812C VDD_IN 4425mW/4399mW VDD_CPU_GPU_CV 756mW/750mW VDD_SOC 1355mW/1345mW
08-09-2026 19:34:58 RAM 2985/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [4%@729,3%@729,7%@729,1%@729,0%@729,20%@729] GR3D_FREQ 15% cpu@48.406C soc2@47.531C soc0@46.343C gpu@47.625C tj@48.281C soc1@45.937C VDD_IN 4505mW/4402mW VDD_CPU_GPU_CV 756mW/750mW VDD_SOC 1355mW/1345mW
08-09-2026 19:34:59 RAM 2985/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [5%@1510,2%@1510,10%@1510,1%@1510,1%@729,11%@729] GR3D_FREQ 9% cpu@48.468C soc2@47.593C soc0@46.156C gpu@47.625C tj@48.468C soc1@46.062C VDD_IN 4465mW/4403mW VDD_CPU_GPU_CV 756mW/751mW VDD_SOC 1395mW/1346mW
08-09-2026 19:35:00 RAM 2985/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [3%@1510,0%@1510,2%@1510,1%@1510,2%@729,15%@729] GR3D_FREQ 6% cpu@48.375C soc2@47.562C soc0@46.187C gpu@47.937C tj@48.375C soc1@45.937C VDD_IN 4465mW/4405mW VDD_CPU_GPU_CV 756mW/751mW VDD_SOC 1395mW/1348mW
08-09-2026 19:35:01 RAM 2985/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [3%@729,1%@729,8%@729,2%@729,0%@729,16%@729] GR3D_FREQ 12% cpu@48.218C soc2@47.593C soc0@46.125C gpu@47.437C tj@48.437C soc1@45.812C VDD_IN 4472mW/4406mW VDD_CPU_GPU_CV 757mW/751mW VDD_SOC 1355mW/1348mW
08-09-2026 19:35:02 RAM 2985/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [5%@729,1%@729,6%@729,1%@729,1%@729,15%@729] GR3D_FREQ 12% cpu@48.406C soc2@47.437C soc0@46.062C gpu@47.468C tj@48.406C soc1@45.906C VDD_IN 4472mW/4408mW VDD_CPU_GPU_CV 757mW/751mW VDD_SOC 1355mW/1348mW
08-09-2026 19:35:03 RAM 2985/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [3%@729,1%@729,3%@729,1%@729,2%@729,18%@729] GR3D_FREQ 9% cpu@48.156C soc2@47.375C soc0@46.031C gpu@47.375C tj@48.156C soc1@45.875C VDD_IN 4465mW/4409mW VDD_CPU_GPU_CV 756mW/751mW VDD_SOC 1355mW/1348mW
08-09-2026 19:35:04 RAM 2985/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [3%@1510,0%@1510,5%@1510,1%@1510,1%@729,14%@729] GR3D_FREQ 11% cpu@48.156C soc2@47.375C soc0@46.156C gpu@47.437C tj@48.156C soc1@45.875C VDD_IN 4505mW/4411mW VDD_CPU_GPU_CV 756mW/751mW VDD_SOC 1395mW/1349mW
08-09-2026 19:35:05 RAM 2985/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [3%@1510,1%@1510,2%@1510,2%@1510,1%@729,19%@729] GR3D_FREQ 11% cpu@48.375C soc2@47.5C soc0@46.187C gpu@47.687C tj@48.375C soc1@46.031C VDD_IN 4472mW/4413mW VDD_CPU_GPU_CV 757mW/751mW VDD_SOC 1395mW/1350mW
08-09-2026 19:35:06 RAM 2985/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [2%@1510,1%@1510,5%@1510,1%@1510,6%@729,11%@729] GR3D_FREQ 7% cpu@48.562C soc2@47.375C soc0@46.218C gpu@47.625C tj@48.562C soc1@45.906C VDD_IN 4472mW/4414mW VDD_CPU_GPU_CV 757mW/751mW VDD_SOC 1395mW/1351mW
08-09-2026 19:35:07 RAM 2985/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [3%@729,0%@729,11%@729,2%@729,10%@729,0%@729] GR3D_FREQ 11% cpu@48.281C soc2@47.375C soc0@45.968C gpu@47.687C tj@48.281C soc1@45.812C VDD_IN 4472mW/4415mW VDD_CPU_GPU_CV 757mW/752mW VDD_SOC 1395mW/1352mW
