phys_ts,n_channels,zbuf_update_ms
1642050000.0,1,0.01626
1642050900.0,1,0.03555
1642051800.0,1,0.02326
1642052700.0,1,0.02099
1642053600.0,1,0.0257
1642054500.0,1,0.0289
1642055400.0,1,0.01354
1642056300.0,1,0.02768
1642057200.0,1,0.01968
1642058100.0,1,0.03869
1642059000.0,1,0.02912
1642059900.0,1,0.01792
1642060800.0,1,0.02019
1642061700.0,1,0.00688
1642062600.0,1,0.02294
1642063500.0,1,0.02442
1642064400.0,1,0.02512
1642065300.0,1,0.02112
1642066200.0,1,0.02442
1642067100.0,1,0.01862
1642068000.0,1,0.02086
1642068900.0,1,0.03075
1642069800.0,1,0.03008
1642070700.0,1,0.02983
1642071600.0,1,0.02819
1642072500.0,1,0.02618
1642073400.0,1,0.02278
1642074300.0,1,0.01843
1642075200.0,1,0.03286
1642076100.0,1,0.00992
1642077000.0,1,0.03018
1642077900.0,1,0.03283
1642078800.0,1,0.03133
1642079700.0,1,0.02182
1642080600.0,1,0.02662
1642081500.0,1,0.02131
1642082400.0,1,0.02611
1642083300.0,1,0.01888
1642084200.0,1,0.03229
1642085100.0,1,0.02336
1642086000.0,1,0.01402
1642086900.0,1,0.0344
1642087800.0,1,0.03318
1642088700.0,1,0.0207
1642089600.0,1,0.02339
1642090500.0,1,0.02534
1642091400.0,1,0.03568
1642092300.0,1,0.02368
1642093200.0,1,0.02195
1642094100.0,1,0.03731
1642095000.0,1,0.02442
1642095900.0,1,0.01661
1642096800.0,1,0.02845
1642097700.0,1,0.02838
1642098600.0,1,0.02928
1642099500.0,1,0.03059
1642100400.0,1,0.02547
1642101300.0,1,0.02192
1642102200.0,1,0.02608
1642103100.0,1,0.01869
1642104000.0,1,0.01706
1642104900.0,1,0.02736
1642105800.0,1,0.02595
1642106700.0,1,0.02605
1642107600.0,1,0.02138
1642108500.0,1,0.01587
1642109400.0,1,0.01824
1642110300.0,1,0.0153
1642111200.0,1,0.01818
1642112100.0,1,0.02394
1642113000.0,1,0.02893
1642113900.0,1,0.01859
1642114800.0,1,0.02
1642115700.0,1,0.03037
1642116600.0,1,0.02518
1642117500.0,1,0.02301
1642118400.0,1,0.02422
1642119300.0,1,0.02883
1642120200.0,1,0.02931
1642121100.0,1,0.03351
1642122000.0,1,0.01514
1642122900.0,1,0.03229
1642123800.0,1,0.03267
1642124700.0,1,0.02355
1642125600.0,1,0.0217
1642126500.0,1,0.02461
1642127400.0,1,0.02816
1642128300.0,1,0.02918
1642129200.0,1,0.02486
1642130100.0,1,0.03795
1642131000.0,1,0.08608
1642131900.0,1,0.01846
1642132800.0,1,0.02214
1642133700.0,1,0.02282
1642134600.0,1,0.01024
1642135500.0,1,0.0295
1642136400.0,1,0.02672
1642137300.0,1,0.02285
1642138200.0,1,0.02714
1642139100.0,1,0.02691
1642140000.0,1,0.02886
1642140900.0,1,0.02269
1642141800.0,1,0.07574
1642142700.0,1,0.03213
1642143600.0,1,0.02614
1642144500.0,1,0.02573
1642145400.0,1,0.02998
1642146300.0,1,0.02605
1642147200.0,1,0.02515
1642148100.0,1,0.02343
1642149000.0,1,0.00758
1642149900.0,1,0.02829
1642150800.0,1,0.02832
1642151700.0,1,0.02451
1642152600.0,1,0.01709
1642153500.0,1,0.01878
1642154400.0,1,0.0185
1642155300.0,1,0.02064
1642156200.0,1,0.02288
1642157100.0,1,0.03168
1642158000.0,1,0.01619
1642158900.0,1,0.04118
1642159800.0,1,0.02461
1642160700.0,1,0.02602
1642161600.0,1,0.02637
1642162500.0,1,0.02531
1642163400.0,1,0.02647
1642164300.0,1,0.02912
1642165200.0,1,0.0305
1642166100.0,1,0.03034
1642167000.0,1,0.03034
1642167900.0,1,0.0313
1642168800.0,1,0.02813
1642169700.0,1,0.01974
1642170600.0,1,0.02314
1642171500.0,1,0.03223
1642172400.0,1,0.03094
1642173300.0,1,0.02275
1642174200.0,1,0.0183
1642175100.0,1,0.0232
1642176000.0,1,0.02707
1642176900.0,1,0.02682
1642177800.0,1,0.02573
1642178700.0,1,0.03565
1642179600.0,1,0.03501
1642180500.0,1,0.03015
1642181400.0,1,0.02966
1642182300.0,1,0.02138
1642183200.0,1,0.02291
1642184100.0,1,0.02112
1642185000.0,1,0.02327
1642185900.0,1,0.02871
1642186800.0,1,0.02272
1642187700.0,1,0.02685
1642188600.0,1,0.02375
1642189500.0,1,0.02563
1642190400.0,1,0.02576
1642191300.0,1,0.0255
1642192200.0,1,0.02256
1642193100.0,1,0.03274
1642194000.0,1,0.0151
1642194900.0,1,0.03741
1642195800.0,1,0.03011
1642196700.0,1,0.02131
1642197600.0,1,0.01763
1642198500.0,1,0.0199
1642199400.0,1,0.02112
1642200300.0,1,0.01053
1642201200.0,1,0.03571
1642202100.0,1,0.03376
1642203000.0,1,0.02787
1642203900.0,1,0.02454
1642204800.0,1,0.02534
1642205700.0,1,0.02416
1642206600.0,1,0.02711
