config,variant,threshold,ground_truth,n_det_raw,n_cat,n_det,pod,far,n_hit,n_fa,n_fa_saa,n_events_total,n_events_tp,n_events_fa,event_far,TP,FP,FN,precision,recall,f1,onset_diff_h_median,onset_diff_h_p25,onset_diff_h_p75,onset_diff_h_n
B_gated_tcn,skip,0.92,noaa,88,42,88,0.8333333333333334,0.5340909090909091,35,47,,72,35,37,0.5138888888888888,35,37,7,0.4861111111111111,0.8333333333333334,0.6140350877192983,0.5,-6.666666666666667,1.4166666666666667,35
B_gated_tcn,skip,0.92,manual,88,53,88,0.7924528301886793,0.45454545454545453,42,40,,72,41,31,0.4246575342465753,42,31,11,0.5753424657534246,0.7924528301886793,0.6666666666666667,10.0,5.9375,16.375,42
C_alert_and_tcn,na,0.92,noaa,211,42,211,0.7380952380952381,0.2890995260663507,31,61,,28,26,2,0.06060606060606061,31,2,11,0.9393939393939394,0.7380952380952381,0.8266666666666667,1.8333333333333333,1.0,3.75,31
C_alert_and_tcn,na,0.92,manual,211,53,211,0.4339622641509434,0.5971563981042654,23,126,,28,23,5,0.17857142857142858,23,5,30,0.8214285714285714,0.4339622641509434,0.5679012345679013,9.5,7.125,15.625,23
A_tcn_only,na,0.93,noaa,180,42,180,0.9285714285714286,0.6611111111111111,39,119,,86,38,48,0.5517241379310345,39,48,3,0.4482758620689655,0.9285714285714286,0.6046511627906977,0.25,-5.791666666666667,1.2916666666666667,39
A_tcn_only,na,0.93,manual,180,53,180,0.8490566037735849,0.6055555555555555,45,109,,86,45,41,0.47674418604651164,45,41,8,0.5232558139534884,0.8490566037735849,0.6474820143884893,10.0,5.75,14.25,45
B_gated_tcn,break,0.93,noaa,182,42,182,0.6666666666666666,0.29120879120879123,28,53,,25,23,2,0.06666666666666667,28,2,14,0.9333333333333333,0.6666666666666666,0.7777777777777778,2.0,1.0,5.583333333333333,28
B_gated_tcn,break,0.93,manual,182,53,182,0.41509433962264153,0.6098901098901099,22,111,,25,21,4,0.15384615384615385,22,4,31,0.8461538461538461,0.41509433962264153,0.5569620253164558,13.875,7.875,17.25,22
B_gated_tcn,skip,0.93,noaa,86,42,86,0.8333333333333334,0.5116279069767442,35,44,,70,35,35,0.5,35,35,7,0.5,0.8333333333333334,0.625,0.5833333333333334,-6.541666666666667,1.4166666666666667,35
B_gated_tcn,skip,0.93,manual,86,53,86,0.8113207547169812,0.4186046511627907,43,36,,70,42,28,0.39436619718309857,43,28,10,0.6056338028169014,0.8113207547169812,0.6935483870967741,10.0,5.75,16.25,43
C_alert_and_tcn,na,0.93,noaa,211,42,211,0.7380952380952381,0.2890995260663507,31,61,,28,26,2,0.06060606060606061,31,2,11,0.9393939393939394,0.7380952380952381,0.8266666666666667,1.8333333333333333,1.0,3.75,31
C_alert_and_tcn,na,0.93,manual,211,53,211,0.4339622641509434,0.5971563981042654,23,126,,28,23,5,0.17857142857142858,23,5,30,0.8214285714285714,0.4339622641509434,0.5679012345679013,9.5,7.125,15.625,23
A_tcn_only,na,0.94,noaa,170,42,170,0.9285714285714286,0.6294117647058823,39,107,,81,38,43,0.524390243902439,39,43,3,0.47560975609756095,0.9285714285714286,0.6290322580645161,0.25,-5.416666666666667,1.4166666666666667,39
A_tcn_only,na,0.94,manual,170,53,170,0.8301886792452831,0.6176470588235294,44,105,,81,44,37,0.4567901234567901,44,37,9,0.5432098765432098,0.8301886792452831,0.6567164179104478,10.125,6.5,14.75,44
B_gated_tcn,break,0.94,noaa,180,42,180,0.6666666666666666,0.29444444444444445,28,53,,25,23,2,0.06666666666666667,28,2,14,0.9333333333333333,0.6666666666666666,0.7777777777777778,2.125,1.25,5.583333333333333,28
B_gated_tcn,break,0.94,manual,180,53,180,0.41509433962264153,0.6166666666666667,22,111,,25,21,4,0.15384615384615385,22,4,31,0.8461538461538461,0.41509433962264153,0.5569620253164558,13.875,8.4375,17.25,22
B_gated_tcn,skip,0.94,noaa,87,42,87,0.8333333333333334,0.5172413793103449,35,45,,70,34,36,0.5070422535211268,35,36,7,0.49295774647887325,0.8333333333333334,0.6194690265486726,0.6666666666666666,-5.666666666666667,1.4583333333333335,35
B_gated_tcn,skip,0.94,manual,87,53,87,0.8113207547169812,0.41379310344827586,43,36,,70,42,28,0.39436619718309857,43,28,10,0.6056338028169014,0.8113207547169812,0.6935483870967741,11.25,7.375,17.875,43
C_alert_and_tcn,na,0.94,noaa,210,42,210,0.7380952380952381,0.2904761904761905,31,61,,28,26,2,0.06060606060606061,31,2,11,0.9393939393939394,0.7380952380952381,0.8266666666666667,1.8333333333333333,1.0,3.75,31
C_alert_and_tcn,na,0.94,manual,210,53,210,0.4339622641509434,0.6,23,126,,28,23,5,0.17857142857142858,23,5,30,0.8214285714285714,0.4339622641509434,0.5679012345679013,9.5,7.125,15.625,23
A_tcn_only,na,0.95,noaa,177,42,177,0.9285714285714286,0.5988700564971752,39,106,,84,36,48,0.5517241379310345,39,48,3,0.4482758620689655,0.9285714285714286,0.6046511627906977,0.25,-5.041666666666667,1.75,39
A_tcn_only,na,0.95,manual,177,53,177,0.8113207547169812,0.632768361581921,43,112,,84,45,39,0.47560975609756095,43,39,10,0.524390243902439,0.8113207547169812,0.6370370370370371,10.25,6.75,14.625,43
B_gated_tcn,break,0.95,noaa,180,42,180,0.6666666666666666,0.29444444444444445,28,53,,25,23,2,0.06666666666666667,28,2,14,0.9333333333333333,0.6666666666666666,0.7777777777777778,2.125,1.25,5.583333333333333,28
B_gated_tcn,break,0.95,manual,180,53,180,0.41509433962264153,0.6166666666666667,22,111,,25,21,4,0.15384615384615385,22,4,31,0.8461538461538461,0.41509433962264153,0.5569620253164558,13.875,8.4375,17.25,22
B_gated_tcn,skip,0.95,noaa,89,42,89,0.8571428571428571,0.4943820224719101,36,44,,70,35,35,0.49295774647887325,36,35,6,0.5070422535211268,0.8571428571428571,0.6371681415929203,0.8333333333333333,-5.666666666666667,1.5625,36
